b,e,d,a,alignment,families
18,23,17,16,0.775381211,dr_d_8;parity_01;prime_edge
18,24,18,18,0.754829412,dr_d_9;parity_00;composite_edge
19,1,20,21,0.835864817,dr_d_2;parity_11;prime_edge
19,2,21,23,0.851524300,dr_d_3;parity_10;prime_edge
19,3,22,1,0.991484208,dr_d_4;parity_11;prime_edge
19,4,23,3,0.981801623,dr_d_5;parity_10;prime_edge
19,5,24,5,0.967820644,dr_d_6;parity_11;prime_edge
19,6,1,7,0.869570081,dr_d_1;parity_10;prime_edge
19,7,2,9,0.889898417,dr_d_2;parity_11;prime_edge
19,8,3,11,0.900450338,dr_d_3;parity_10;prime_edge
19,9,4,13,0.903651992,dr_d_4;parity_11;prime_edge
19,10,5,15,0.901631589,dr_d_5;parity_10;prime_edge
19,11,6,17,0.896088153,dr_d_6;parity_11;prime_edge
19,12,7,19,0.888296706,dr_d_7;parity_10;prime_edge
19,13,8,21,0.879173965,dr_d_8;parity_11;prime_edge
19,14,9,23,0.869358420,dr_d_9;parity_10;prime_edge
19,15,10,1,0.917245417,dr_d_1;parity_11;prime_edge
19,16,11,3,0.905508947,dr_d_2;parity_10;prime_edge
19,17,12,5,0.889499180,dr_d_3;parity_11;prime_edge
19,18,13,7,0.870648490,dr_d_4;parity_10;prime_edge
19,19,14,9,0.850131003,dr_d_5;parity_11;prime_edge
19,20,15,11,0.828849727,dr_d_6;parity_10;prime_edge
19,21,16,13,0.807463151,dr_d_7;parity_11;prime_edge
19,22,17,15,0.786428295,dr_d_8;parity_10;prime_edge
19,23,18,17,0.766045917,dr_d_9;parity_11;prime_edge
19,24,19,19,0.746500778,dr_d_1;parity_10;prime_edge
20,1,21,22,0.834990810,dr_d_3;parity_01;composite_edge
20,2,22,24,0.850104462,dr_d_4;parity_00;prime_edge
20,3,23,2,0.990667707,dr_d_5;parity_01;prime_edge
20,4,24,4,0.979957887,dr_d_6;parity_00;composite_edge
20,5,1,6,0.855337203,dr_d_1;parity_01;prime_edge
20,6,2,8,0.881917104,dr_d_2;parity_00;composite_edge
20,7,3,10,0.898026510,dr_d_3;parity_01;prime_edge
20,8,4,12,0.905821627,dr_d_4;parity_00;composite_edge
20,9,5,14,0.907392872,dr_d_5;parity_01;composite_edge
20,10,6,16,0.904534034,dr_d_6;parity_00;composite_edge
20,11,7,18,0.898669163,dr_d_7;parity_01;prime_edge
20,12,8,20,0.890870806,dr_d_8;parity_00;composite_edge
20,13,9,22,0.881917104,dr_d_9;parity_01;prime_edge
20,14,10,24,0.872356744,dr_d_1;parity_00;composite_edge
20,15,11,2,0.903696114,dr_d_2;parity_01;composite_edge
20,16,12,4,0.891132789,dr_d_3;parity_00;composite_edge
20,17,13,6,0.875019974,dr_d_4;parity_01;prime_edge
20,18,14,8,0.856586153,dr_d_5;parity_00;composite_edge
20,19,15,10,0.836825097,dr_d_6;parity_01;prime_edge
20,20,16,12,0.816496581,dr_d_7;parity_00;composite_edge
20,21,17,14,0.796154028,dr_d_8;parity_01;composite_edge
20,22,18,16,0.776182335,dr_d_9;parity_00;composite_edge
20,23,19,18,0.756835845,dr_d_1;parity_01;prime_edge
20,24,20,20,0.738271661,dr_d_2;parity_00;composite_edge
21,1,22,23,0.834191997,dr_d_4;parity_11;composite_edge
21,2,23,1,0.996403790,dr_d_5;parity_10;prime_edge
21,3,24,3,0.989070710,dr_d_6;parity_11;prime_edge
21,4,1,5,0.836536288,dr_d_1;parity_10;composite_edge
21,5,2,7,0.869079197,dr_d_2;parity_11;prime_edge
21,6,3,9,0.890870806,dr_d_3;parity_10;composite_edge
21,7,4,11,0.903651992,dr_d_4;parity_11;prime_edge
21,8,5,13,0.909337982,dr_d_5;parity_10;composite_edge
21,9,6,15,0.909717652,dr_d_6;parity_11;composite_edge
21,10,7,17,0.906304552,fib_seed;dr_d_7;parity_10;composite_edge
21,11,8,19,0.900298273,dr_d_8;parity_11;prime_edge
21,12,9,21,0.892607398,dr_d_9;parity_10;composite_edge
21,13,10,23,0.883897744,dr_d_1;parity_11;prime_edge
21,14,11,1,0.898322254,dr_d_2;parity_10;composite_edge
21,15,12,3,0.889499180,dr_d_3;parity_11;composite_edge
21,16,13,5,0.876491834,dr_d_4;parity_10;composite_edge
21,17,14,7,0.860530546,dr_d_5;parity_11;prime_edge
21,18,15,9,0.842664841,dr_d_6;parity_10;composite_edge
21,19,16,11,0.823736084,dr_d_7;parity_11;prime_edge
21,20,17,13,0.804385593,dr_d_8;parity_10;composite_edge
21,21,18,15,0.785081016,dr_d_9;parity_11;composite_edge
21,22,19,17,0.766148893,dr_d_1;parity_10;composite_edge
21,23,20,19,0.747806343,dr_d_2;parity_11;prime_edge
21,24,21,21,0.730188575,dr_d_3;parity_10;composite_edge
22,1,23,24,0.833459110,dr_d_5;parity_01;composite_edge
22,2,24,2,0.995307342,dr_d_6;parity_00;prime_edge
22,3,1,4,0.814091578,dr_d_1;parity_01;prime_edge
22,4,2,6,0.852012867,dr_d_2;parity_00;composite_edge
22,5,3,8,0.879315573,dr_d_3;parity_01;prime_edge
22,6,4,10,0.897235447,dr_d_4;parity_00;composite_edge
22,7,5,12,0.907392872,dr_d_5;parity_01;prime_edge
22,8,6,14,0.911465430,dr_d_6;parity_00;composite_edge
22,9,7,16,0.910980273,dr_d_7;parity_01;composite_edge
22,10,8,18,0.907218423,dr_d_8;parity_00;composite_edge
22,11,9,20,0.901196258,dr_d_9;parity_01;prime_edge
22,12,10,22,0.893688910,dr_d_1;parity_00;composite_edge
22,13,11,24,0.885270413,dr_d_2;parity_01;prime_edge
22,14,12,2,0.884651737,dr_d_3;parity_00;composite_edge
22,15,13,4,0.875019974,dr_d_4;parity_01;composite_edge
22,16,14,6,0.861857502,dr_d_5;parity_00;composite_edge
22,17,15,8,0.846227921,dr_d_6;parity_01;prime_edge
22,18,16,10,0.829026672,dr_d_7;parity_00;composite_edge
22,19,17,12,0.810967466,dr_d_8;parity_01;prime_edge
22,20,18,14,0.792593924,dr_d_9;parity_00;composite_edge
22,21,19,16,0.774303587,dr_d_1;parity_01;composite_edge
22,22,20,18,0.756375581,dr_d_2;parity_00;composite_edge
22,23,21,20,0.738996959,dr_d_3;parity_01;prime_edge
22,24,22,22,0.722285437,dr_d_4;parity_00;composite_edge
23,1,24,1,0.998870184,dr_d_6;parity_11;prime_edge
23,2,1,3,0.788966268,dr_d_1;parity_10;prime_edge
23,3,2,5,0.831479419,dr_d_2;parity_11;prime_edge
23,4,3,7,0.863868426,lucas_seed;dr_d_3;parity_10;prime_edge
23,5,4,9,0.886838393,dr_d_4;parity_11;prime_edge
23,6,5,11,0.901631589,dr_d_5;parity_10;prime_edge
23,7,6,13,0.909717652,dr_d_6;parity_11;prime_edge
23,8,7,15,0.912555002,dr_d_7;parity_10;prime_edge
23,9,8,17,0.911447903,dr_d_8;parity_11;prime_edge
23,10,9,19,0.907485213,dr_d_9;parity_10;prime_edge
23,11,10,21,0.901533352,dr_d_1;parity_11;prime_edge
23,12,11,23,0.894258160,dr_d_2;parity_10;prime_edge
23,13,12,1,0.876745843,dr_d_3;parity_11;prime_edge
23,14,13,3,0.870648490,dr_d_4;parity_10;prime_edge
23,15,14,5,0.860530546,dr_d_5;parity_11;prime_edge
23,16,15,7,0.847425697,dr_d_6;parity_10;prime_edge
23,17,16,9,0.832250379,dr_d_7;parity_11;prime_edge
23,18,17,11,0.815768974,dr_d_8;parity_10;prime_edge
23,19,18,13,0.798588777,dr_d_9;parity_11;prime_edge
23,20,19,15,0.781172851,dr_d_1;parity_10;prime_edge
23,21,20,17,0.763861261,dr_d_2;parity_11;prime_edge
23,22,21,19,0.746894397,dr_d_3;parity_10;prime_edge
23,23,22,21,0.730434835,dr_d_4;parity_11;prime_edge
23,24,23,23,0.714586160,dr_d_5;parity_10;prime_edge
24,1,1,2,0.762073496,dr_d_1;parity_01;composite_edge
24,2,2,4,0.808290377,dr_d_2;parity_00;prime_edge
24,3,3,6,0.845154255,dr_d_3;parity_01;prime_edge
24,4,4,8,0.872871561,dr_d_4;parity_00;composite_edge
24,5,5,10,0.892268598,dr_d_5;parity_01;prime_edge
24,6,6,12,0.904534034,dr_d_6;parity_00;composite_edge
24,7,7,14,0.910980273,dr_d_7;parity_01;prime_edge
24,8,8,16,0.912870929,dr_d_8;parity_00;composite_edge
24,9,9,18,0.911322377,dr_d_9;parity_01;composite_edge
24,10,10,20,0.907264709,dr_d_1;parity_00;composite_edge
24,11,11,22,0.901441072,dr_d_2;parity_01;prime_edge
24,12,12,24,0.894427191,dr_d_3;parity_00;composite_edge
24,13,13,2,0.863506052,dr_d_4;parity_01;prime_edge
24,14,14,4,0.856586153,dr_d_5;parity_00;composite_edge
24,15,15,6,0.846227921,dr_d_6;parity_01;composite_edge
24,16,16,8,0.833333333,dr_d_7;parity_00;composite_edge
24,17,17,10,0.818691140,dr_d_8;parity_01;prime_edge
24,18,18,12,0.802955069,dr_d_9;parity_00;composite_edge
24,19,19,14,0.786643863,dr_d_1;parity_01;prime_edge
24,20,20,16,0.770154046,dr_d_2;parity_00;composite_edge
24,21,21,18,0.753778361,dr_d_3;parity_01;composite_edge
24,22,22,20,0.737725344,dr_d_4;parity_00;composite_edge
24,23,23,22,0.722137474,dr_d_5;parity_01;prime_edge
24,24,24,24,0.707106781,dr_d_6;parity_00;composite_edge
